tweet_id,favorites,retweets
833479644947025920,15066,2086
833124694597443584,20468,4920
832998151111966721,13472,2239
832769181346996225,0,39
832757312314028032,17091,3683
832682457690300417,12049,2964
832645525019123713,2974,537
832636094638288896,16092,2835
832397543355072512,12132,2249
832369877331693569,17438,3244
832273440279240704,11523,2373
832215909146226688,0,6310
832215726631055365,0,9516
832088576586297345,64,2
832040443403784192,0,9797
832032802820481025,18152,4746
831939777352105988,24367,6250
831926988323639298,344,34
831911600680497154,28072,6616
831670449226514432,10614,1854
831650051525054464,7273,1970
831552930092285952,9134,2346
831322785565769729,9405,1581
831315979191906304,6656,1143
831309418084069378,11936,2499
831262627380748289,12097,2083
830956169170665475,8112,1521
830583320585068544,68038,17119
830173239259324417,0,5816
830097400375152640,10003,3008
829878982036299777,0,5126
829861396166877184,12438,1986
829501995190984704,32306,10816
829449946868879360,10641,2068
829141528400556032,24874,7506
829011960981237760,54022,16603
828801551087042563,0,3480
828770345708580865,26027,5989
828708714936930305,37215,11427
828650029636317184,9687,1381
828409743546925057,6453,1185
828408677031882754,7808,1315
828381636999917570,12819,2257
828376505180889089,7522,1091
828372645993398273,12787,2998
828361771580813312,2236,174
828046555563323392,11988,2930
828011680017821696,10538,2195
827933404142436356,20471,5353
827653905312006145,15763,3083
827600520311402496,7569,961
827324948884643840,16166,3121
827199976799354881,10771,2281
826958653328592898,21987,5126
826848821049180160,37100,10400
826615380357632002,0,4078
826598799820865537,5220,257
826598365270007810,10245,2397
826476773533745153,18791,4294
826240494070030336,13556,2657
826204788643753985,4977,945
826115272272650244,15968,3208
825876512159186944,10679,1923
825829644528148480,12976,2546
825535076884762624,57896,17900
825147591692263424,18680,4657
825120256414846976,0,1296
825026590719483904,6453,1296
824796380199809024,0,5625
824775126675836928,15241,3614
824663926340194305,10307,1783
824325613288833024,12060,10745
824297048279236611,15387,3964
824025158776213504,4923,609
823939628516474880,10856,2771
823719002937630720,0,11489
823699002998870016,14255,2581
823581115634085888,13317,2697
823333489516937216,715,25
823322678127919110,16087,4137
823269594223824897,0,10142
822975315408461824,17699,3539
822872901745569793,134811,44412
822859134160621569,13574,2353
822647212903690241,0,6571
822610361945911296,15139,3027
822489057087389700,18573,6571
822462944365645825,28771,14740
822244816520155136,35791,10142
822163064745328640,0,4918
821886076407029760,11605,2372
821813639212650496,0,3446
821765923262631936,8624,1693
821522889702862852,8221,1815
821421320206483457,0,5747
821407182352777218,12076,4477
821153421864615936,262,10
821149554670182400,8868,2057
821107785811234820,9819,2197
821044531881721856,12958,2343
820837357901512704,0,6937
820749716845686786,32310,10180
820690176645140481,12512,3320
820494788566847489,0,578
820446719150292993,0,2643
820314633777061888,3422,578
820078625395449857,20313,6470
820013781606658049,0,1217
819952236453363712,5454,1217
819924195358416896,13213,5003
819711362133872643,13752,3199
819588359383371776,9868,2045
819347104292290561,7410,1242
819238181065359361,2336,418
819227688460238848,23673,6937
819015337530290176,0,37904
819015331746349057,0,19481
819006400881917954,46419,19481
819004803107983360,89148,37904
818646164899774465,0,21606
818627210458333184,22953,7755
818614493328580609,10107,2649
818588835076603904,0,6334
818536468981415936,11209,2539
818307523543449600,0,8359
818259473185828864,11314,2353
818145370475810820,12620,2652
817908911860748288,4990,826
817827839487737858,53114,27873
817777686764523521,11022,2778
817536400337801217,12080,3071
817502432452313088,0,3494
817423860136083457,34852,15223
817415592588222464,5752,984
817181837579653120,0,8734
817171292965273600,8995,2087
817120970343411712,12539,2686
817056546584727552,8822,1697
816829038950027264,0,4851
816816676327063552,10285,2098
816697700272001025,10061,2264
